SKU,Name,Location,TCP,Floor_Area,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source,City/Town,Province
CD65D7FFD7976FCPH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",8702824,69.29,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781294/,Bacoor,CAVITE
CD64C245F53EE2EPH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City Navarro, General Trias",2744000,24.26,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/studio-low-rise-condo-unit-for-sale-in-general-tri-170417444786/,General Trias,CAVITE
CD65000214C0BE0PH,WESTWIND AT LANCASTER NEW CITY,"Westwind at Lancaster New City Alapan II-A, Imus",3416000,30.1,1,1,0,0,1,0,0,0,1,https://www.lamudi.com.ph/new-developments/westwind-at-lancaster-new-city/1br-low-rise-condo-unit-for-sale-in-imus-cavite-we-170417444571/,Imus,CAVITE
CD65F2D2FCD1E58PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",5976000,30.77,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/1-bedroom-2f-condo-unit-for-sale-in-bucandala-iv-i-171046433475/,Imus,CAVITE
CD65F2D2FB9C1A5PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",4514000,23.76,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-3f-condo-unit-for-sale-in-bucandala-iv-17104643396/,Imus,CAVITE
CD65F2D2FB20212PH,AVIANA,"Imus Blvd. Bucandala IV, Imus",4569000,23.76,1,1,1,2,1,1,1,2,0,https://www.lamudi.com.ph/new-developments/aviana/studio-unit-7f-condo-unit-for-sale-in-bucandala-iv-171046433924/,Imus,CAVITE
CD65D7FFD161F40PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",12116632,96.47,3,3,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/3br-condo-unit-for-sale-in-bacoor-cavite-at-garden-170865781285/,Bacoor,CAVITE
CD64A28DD2B8FE6PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",11369866,82.01,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/executive-2br-condo-unit-for-sale-in-bacoor-cavite-170859542768/,Bacoor,CAVITE
CD6503D3F7A52A5PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",9580374,69,2,2,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/2br-condo-unit-for-sale-in-bacoor-cavite-garden-ci-170859543293/,Bacoor,CAVITE
CD6503D3FD57948PH,GARDEN CITY,"Las Piñas Talaba, Diversion Road Zapote III, Bacoor",3840314,30.04,1,1,1,1,1,1,1,2,1,https://www.lamudi.com.ph/new-developments/garden-city-1/for-sale-studio-condo-unit-in-bacoor-cavite-at-gar-170859543553/,Bacoor,CAVITE
