SKU,Name,Bedrooms,Baths,Club House,Gym,Swimming Pool,Security,CCTV,Reception Area,Parking Area,Source
CD6685D72A7E09EPH,JADE RESIDENCES,1,1,0,0,1,1,1,2,0,https://www.lamudi.com.ph/buy/cavite/imus/your-future-space-1br-unit-at-jade-residences-chin-172004740212/
CD64FE8AA18DFCFPH,ALPINE VILLAS,1,1,0,0,1,1,0,1,1,https://www.lamudi.com.ph/projects/alpine-villas/cozy-studio-unit-for-sale-at-alpine-villa-crosswin-169490663523/
CD6624C2E72BDD0PH,HORIZON TERRACES,1,1,2,2,2,1,1,2,4,https://www.lamudi.com.ph/projects/horizon-terraces/tagaytay-highlands-condo-project-for-sale-171368522338/
CD663A45CBBCE0EPH,KASA LUNTIAN,1,1,1,0,1,1,0,0,2,https://www.lamudi.com.ph/buy/cavite/tagaytay/1-bedroom-unit-in-kasa-luntian-ayala-land-property-171509498780/
CD64A7B4140CB2DPH,ZEAL RESIDENCES,1,1,0,0,1,1,0,0,1,https://www.lamudi.com.ph/projects/zeal-residences/for-sale-1-bedroom-condo-unit-at-zeal-residences-i-168871221264/
CD6592D77D19BD7PH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,3,4,1,0,0,1,0,2,1,https://www.lamudi.com.ph/projects/woodridge-place-at-tagaytay-highlands/penthouse-woodridge-mahogany-building-tagaytay-hig-172156034370/
CD65713FD1D9F6APH,HIGHLANDS RESIDENCES,1,1,0,0,1,0,0,1,1,https://www.lamudi.com.ph/projects/highlands-residences/1-bedroom-terrace-floor-for-sale-at-highlands-resi-170222312030/
CD642410E9B0E75PH,FULLERTON SUITES,1,1,2,0,1,1,1,1,2,https://www.lamudi.com.ph/projects/fullerton-suites-1/for-sale-studio-unit-at-south-forbes-fullerton-sui-169520134446/
CD603CC97701538PH,HORIZON TERRACES,1,1,1,2,0,0,0,1,0,https://www.lamudi.com.ph/projects/horizon-terraces/taal-view-and-mountain-view-condominium-in-tagaytay-highlands-1/
CD6508C59D5EA26PH,KASA LUNTIAN,1,1,1,0,1,1,1,0,4,https://www.lamudi.com.ph/projects/kasa-luntian-1/kasa-luntian-tagaytay-1-bedroom-condominium-for-sa-172122289259/
CD6667A6A92F387PH,0,1,0,0,0,0,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/for-sale-tagaytay-calamba-rd-crosswinds-1br-condo-171811951959/
CD6676E27E4822EPH,SERIN EAST TAGAYTAY,1,1,0,0,0,1,1,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/studio-condominium-in-tagaytay-171906726215/
CD65694B2F0FB61PH,HIGHLANDS RESIDENCES AT TAGAYTAY HIGHLANDS,2,2,1,1,2,0,1,1,4,https://www.lamudi.com.ph/projects/highlands-residences/new-condo-project-for-sale-in-at-tagaytay-highland-170178381918/
CD6661BBC2837E6PH,WIND RESIDENCES,1,1,1,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/wind-residences-tagaytay-condominium-for-sale-171768109078/
CD66648CD4B4490PH,ZEAL RESIDENCES,1,1,2,2,1,1,1,2,1,https://www.lamudi.com.ph/buy/cavite/general-trias/1-bedroom-condominium-unit-for-sale-in-zeal-reside-171786568476/
CD64DC456F7A344PH,WIND RESIDENCES,1,1,0,0,1,1,0,0,0,https://www.lamudi.com.ph/projects/wind-residences/wind-residences-1-bedroom-condominium-unit-for-sal-16922325266/
CD62C33271B135DPH,SERIN EAST TAGAYTAY,2,2,1,2,2,1,1,2,1,https://www.lamudi.com.ph/buy/cavite/tagaytay/2-bedroom-condo-unit-for-sale-in-avida-serin-tagay-170482337517/
CD6694B5CF52EC3PH,STANFORD SUITES,1,1,0,0,0,1,1,1,0,https://www.lamudi.com.ph/buy/cavite/silang/studio-unit-for-sale-stanford-suites-3-172120111790/
CD654B11A97BE88PH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,4,4,0,0,0,1,0,0,1,https://www.lamudi.com.ph/projects/woodridge-place-at-tagaytay-highlands/4-bedroom-unit-in-tagaytay-highlands-for-sale-169941853723/
CD6678EB3690DFEPH,WOODRIDGE PLACE AT TAGAYTAY HIGHLANDS,4,4,0,0,1,1,0,0,0,https://www.lamudi.com.ph/buy/cavite/tagaytay/woodridge-place-tagaytay-highlands-4br-with-2-park-171920056663/
CD62C335B24CC4EPH,SERIN WEST TAGAYTAY,1,1,1,2,2,1,1,2,1,https://www.lamudi.com.ph/projects/serin-west-tagaytay/1-bedroom-condo-unit-for-sale-in-avida-serin-tagay-170487072777/
CD665838CD188C7PH,THE GRAND QUARTIER,2,1,1,0,1,1,0,2,2,https://www.lamudi.com.ph/buy/cavite/tagaytay/discover-your-sanctuary-in-the-sky-at-grand-quarte-171705774152/
CD60CD3958DCE58PH,SERIN WEST TAGAYTAY,1,1,0,0,0,1,0,1,2,https://www.lamudi.com.ph/projects/serin-west-tagaytay/for-sale-fully-furnished-studio-condominium-unit-in-serin-west-tagaytay/
